Cleaned_Text,Sentiment
i have bought several of the vitality canned dog food products and have found them all to be of good quality the product looks more like a stew than a processed meat and it smells better my labrador is finicky and she appreciates this product better than most,Positive
product arrived labeled as jumbo salted peanutsthe peanuts were actually small sized unsalted not sure if this was an error or if the vendor intended to represent the product as jumbo,Negative
this is a confection that has been around a few centuries it is a light pillowy citrus gelatin with nuts in this case filberts and it is cut into tiny squares and then liberally coated with powdered sugar and it is a tiny mouthful of heaven not too chewy and very flavorful i highly recommend this yummy treat if you are familiar with the story of cs lewis the lion the witch and the wardrobe this is the treat that seduces edmund into selling out his brother and sisters to the witch,Positive
if you are looking for the secret ingredient in robitussin i believe i have found it i got this in addition to the root beer extract i ordered which was good and made some cherry soda the flavor is very medicinal,Negative
great taffy at a great price there was a wide assortment of yummy taffy delivery was very quick if your a taffy lover this is a deal,Positive
i got a wild hair for taffy and ordered this five pound bag the taffy was all very enjoyable with many flavors watermelon root beer melon peppermint grape etc my only complaint is there was a bit too much redblack licoriceflavored pieces just not my particular favorites between me my kids and my husband this lasted only two weeks i would recommend this brand of taffy it was a delightful treat,Positive
this saltwater taffy had great flavors and was very soft and chewy each candy was individually wrapped well none of the candies were stuck together which did happen in the expensive version fralingers would highly recommend this candy i served it at a beachthemed party and everyone loved it,Positive
this taffy is so good it is very soft and chewy the flavors are amazing i would definitely recommend you buying it very satisfying,Positive
right now im mostly just sprouting this so my cats can eat the grass they love it i rotate it around with wheatgrass and rye too,Positive
this is a very healthy dog food good for their digestion also good for small puppies my dog eats her required amount at every feeding,Positive
i dont know if its the cactus or the tequila or just the unique combination of ingredients but the flavour of this hot sauce makes it one of a kind we picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away when we realized that we simply couldnt find it anywhere in our city we were bummedbr br now because of the magic of the internet we have a case of the sauce and are ecstatic because of itbr br if you love hot saucei mean really love hot sauce but dont want a sauce that tastelessly burns your throat grab a bottle of tequila picante gourmet de inclan just realize that once you taste it you will never want to use any other saucebr br thank you for the personal incredible service,Positive
one of my boys needed to lose some weight and the other didnt i put this food on the floor for the chubby guy and the proteinrich no byproduct food up higher where only my skinny boy can jump the higher food sits going stale they both really go for this food and my chubby boy has been losing about an ounce a week,Positive
my cats have been happily eating felidae platinum for more than two years i just got a new bag and the shape of the food is different they tried the new food when i first put it in their bowls and now the bowls sit full and the kitties will not touch the food ive noticed similar reviews related to formula changes in the past unfortunately i now need to find a new food that my cats will eat,Negative
good flavor these came securely packed they were fresh and delicious i love these twizzlers,Positive
the strawberry twizzlers are my guilty pleasure yummy six pounds will be around for a while with my son and i,Positive
my daughter loves twizzlers and this shipment of six pounds really hit the spot its exactly what you would expectsix packages of strawberry twizzlers,Positive
i love eating them and they are good for watching tv and looking at movies it is not too sweet i like to transfer them to a zip lock baggie so they stay fresh so i can take my time eating them,Negative
i am very satisfied with my twizzler purchase i shared these with others and we have all enjoyed them i will definitely be ordering more,Positive
twizzlers strawberry my childhood favorite candy made in lancaster pennsylvania by y s candies inc one of the oldest confectionery firms in the united states now a subsidiary of the hershey company the company was established in 1845 as young and smylie they also make apple licorice twists green color and blue raspberry licorice twists i like them allbr br i keep it in a dry cool place because is not recommended it to put it in the fridge according to the guinness book of records the longest licorice twist ever made measured 1200 feet 370 m and weighted 100 pounds 45 kg and was made by y s candies inc this recordbreaking twist became a guinness world record on july 19 1998 this product is kosher thank you,Positive
candy was delivered very fast and was purchased at a reasonable price i was home bound and unable to get to a store so this was perfect for me,Positive
my husband is a twizzlers addict weve bought these many times from amazon because were government employees living overseas and cant get them in the country we are assigned to theyve always been fresh and tasty packed well and arrive in a timely manner,Positive
i bought these for my husband who is currently overseas he loves these and apparently his staff likes them alsobr there are generous amounts of twizzlers in each 16ounce bag and this was well worth the price a hrefhttpwwwamazoncomgpproductb001gvisjmtwizzlers strawberry 16ounce bags pack of 6a,Positive
i can remember buying this candy as a kid and the quality hasnt dropped in all these years still a superb product you wont be disappointed with,Positive
i love this candy after weight watchers i had to cut back but still have a craving for it,Positive
i have lived out of the us for over 7 yrs now and i so miss my twizzlers when i go back to visit or someone visits me i always stock up all i can say is yumbr sell these in mexico and you will have a faithful buyer more often than im able to buy them right now,Positive
product received is as advertisedbr br a hrefhttpwwwamazoncomgpproductb001gvisjmtwizzlers strawberry 16ounce bags pack of 6a,Positive
the candy is just red no flavor just plan and chewy i would never buy them again,Negative
i was so glad amazon carried these batteries i have a hard time finding them elsewhere because they are such a unique size i need them for my garage door openerbr great deal for the price,Positive
i got this for my mum who is not diabetic but needs to watch her sugar intake and my father who simply chooses to limit unnecessary sugar intake shes the one with the sweet tooth they both loved these toffees you would never guess that theyre sugarfree and its so great that you can eat them pretty much guilt free i was so impressed that ive ordered some for myself w dark chocolate to take to the office so ill eat them instead of snacking on sugary sweetsbr these are just excellent,Positive
i dont know if its the cactus or the tequila or just the unique combination of ingredients but the flavour of this hot sauce makes it one of a kind we picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away when we realized that we simply couldnt find it anywhere in our city we were bummedbr br now because of the magic of the internet we have a case of the sauce and are ecstatic because of itbr br if you love hot saucei mean really love hot sauce but dont want a sauce that tastelessly burns your throat grab a bottle of tequila picante gourmet de inclan just realize that once you taste it you will never want to use any other saucebr br thank you for the personal incredible service,Positive
i have never been a huge coffee fan however my mother purchased this little machine and talked me into trying the latte macciato no coffee shop has a better one and i like most of the other products too as a usually noncoffee drinkerbr the little dolche guesto machine is super easy to use and prepares a really good coffeelattecappuccinoetc in less than a minute if water is heated up i would recommend the dolce gusto to anyone too good for the price and iam getting one myself,Positive
this offer is a great price and a great taste thanks amazon for selling this productbr br staral,Positive
mccanns instant oatmeal is great if you must have your oatmeal but can only scrape together two or three minutes to prepare it there is no escaping the fact however that even the best instant oatmeal is nowhere near as good as even a store brand of oatmeal requiring stovetop preparation still the mccanns is as good as it gets for instant oatmeal its even better than the organic allnatural brands i have tried all the varieties in the mccanns variety pack taste good it can be prepared in the microwave or by adding boiling water so it is convenient in the extreme when time is an issuebr br mccanns use of actual cane sugar instead of high fructose corn syrup helped me decide to buy this product real sugar tastes better and is not as harmful as the other stuff one thing i do not like though is mccanns use of thickeners oats plus water plus heat should make a creamy tasty oatmeal without the need for guar gum but this is a convenience product maybe the guar gum is why after sitting in the bowl a while the instant mccanns becomes too thick and gluey,Positive
this is a good instant oatmeal from the best oatmeal brand it uses cane sugar instead of high fructouse corn syrup so not only does it have a better sweetness but some doctors now say that this form of sugar is better for you great on a cold morning when you dont have time to make mccanns steel cut oats the apple cinnamon is the best but the maple and brown sugar or the regular are good too plus they dont require doctoring to actually tell the three flavors apart,Positive
instant oatmeal can become soggy the minute the water hits the bowl mccanns instant oatmeal holds its texture has excellent flavor and is good for you all at the same time mccanns regular oat meal is excellent too but may take a bit longer to prepare than most have time for in the morning this is the best instant brand ive ever eaten and a very close second to the noninstant varietybr br mccanns instant irish oatmeal variety pack of regular apples cinnamon and maple brown sugar 10count boxes pack of 6,Positive
mccanns instant irish oatmeal variety pack of regular apples cinnamon and maple brown sugar 10count boxes pack of 6br br im a fan of the mccanns steelcut oats so i thought id give the instant variety a try i found it to be a hardy meal not too sweet and great for folks like me postbariatric surgery who need food that is palatable easily digestible with fiber but wont make you bloat,Positive
for those of us with celiac disease this product is a lifesaver and what could be better than getting it at almost half the price of the grocery or health food store i love mccanns instant oatmeal all flavorsbr br thanksbr abby,Positive
what else do you need to know oatmeal instant make it with a half cup of lowfat milk and add raisinsnuke for 90 seconds more expensive than kroger store brand oatmeal and maybe a little tastier or better texture or something its still just oatmeal mmm convenient,Positive
i was visiting my friend nate the other morning for coffee he came out of his storage room with a packet of mccanns instant irish oatmeal he suggested that i try it for my own use in my stash sometimes nate dose not give you a chance to say no so i ended up trying the apple and cinn found it to be very tastefull when made with water or powdered milk it goes good with oj and coffee and a slice of toast and your ready to take on the worldor the day at least jerry reith,Positive
i ordered this for my wife as it was reccomended by our daughter she has this almost every morning and likes all flavors shes happy im happybr a hrefhttpwwwamazoncomgpproductb001eo5qw8mccanns instant irish oatmeal variety pack of regular apples cinnamon and maple brown sugar 10count boxes pack of 6a,Positive
the variety packs taste greatbr br i have them every morning at 030 cents per meal i dont understand why everyone on earth isnt buying this stuff upbr br maple and brown sugar is terrific followed by apples and cinnamon followed by regular you dont get tired of the same ole thing and they taste greatbr br i just boil water from a small pot empty the packet or 2 in a bowl pour in boiling water and watch it expand to 2x its sizebr br taste really good and takes minutes to preparebr br not sure why everyone on earth isnt this convenient healthy very quick excellent quality and extremely cheap,Positive
mccanns makes oatmeal for every oatmeal connoisseur whether one likes it from the raw pellet state that cooks for half an hour to the sloth addled instant which can be done in the microwave for under three minutes its all good thats for sure and the beauty of the instant variety is that it is available in different flavors as well as regularbr this variety pack allows different tastes to be explored as well as giving you a chance to experience the difference between mccanns and other wellknown oatmeals what i personally like about mccanns is that it cooks up thicker and with more body than the top brand here in america the apples cinnamon though tends to be a little liquidy so you may want to experiment with the amount of water you add in my 1300watt microwave the oatmeal cooks up in about one minute and twentyseven seconds so you should also watch that to get a handle on how much time and water to usebr the only bad thing if you can consider it a bad thing about this offering is that you have to buy in lot so youll end up with six tencount boxes this is good if you have a whole family of oatmealeaters but if youre a single person alone well love oatmeal,Positive
